process,fold,base_val_accuracy,base_test_accuracy,grid_val_accuracy,grid_test_accuracy
svm_canny,1,0.4292682926829268,0.4453125,0.4585365853658537,0.42578125
svm_canny,2,0.4097560975609756,0.44140625,0.37073170731707317,0.41015625
svm_canny,3,0.4585365853658537,0.42578125,0.4585365853658537,0.421875
svm_canny,4,0.47317073170731705,0.4375,0.43414634146341463,0.42578125
svm_canny,5,0.4803921568627451,0.44140625,0.4362745098039216,0.375
svm_pca_canny,1,0.4585365853658537,0.4453125,0.4292682926829268,0.421875
svm_pca_canny,2,0.4585365853658537,0.45703125,0.47804878048780486,0.4375
svm_pca_canny,3,0.47804878048780486,0.4609375,0.5073170731707317,0.3984375
svm_pca_canny,4,0.4634146341463415,0.44140625,0.44878048780487806,0.40234375
svm_pca_canny,5,0.4166666666666667,0.46484375,0.35784313725490197,0.3984375
svm_contour,1,0.45365853658536587,0.46875,0.424390243902439,0.46484375
svm_contour,2,0.4634146341463415,0.47265625,0.44390243902439025,0.4609375
svm_contour,3,0.4585365853658537,0.47265625,0.4682926829268293,0.47265625
svm_contour,4,0.5121951219512195,0.484375,0.5121951219512195,0.5
svm_contour,5,0.47058823529411764,0.4609375,0.47058823529411764,0.4921875
svm_pca_contour,1,0.4585365853658537,0.46484375,0.44390243902439025,0.44921875
svm_pca_contour,2,0.4585365853658537,0.4375,0.44878048780487806,0.45703125
svm_pca_contour3,0.5365853658536586,0.453125,0.526829268292683,0.46875
svm_pca_contour,4,0.526829268292683,0.46875,0.4926829268292683,0.45703125
svm_pca_contour,5,0.4166666666666667,0.44140625,0.4362745098039216,0.453125
svm_edge_enhance_1,1,0.5121951219512195,0.5234375,0.4682926829268293,0.48828125
svm_edge_enhance_1,2,0.47317073170731705,0.53125,0.4682926829268293,0.50390625
svm_edge_enhance_1,3,0.47317073170731705,0.50390625,0.5073170731707317,0.49609375
svm_edge_enhance_1,4,0.5170731707317073,0.4921875,0.4878048780487805,0.44140625
svm_edge_enhance_1,5,0.5098039215686274,0.50390625,0.4852941176470588,0.5
svm_pca_edge_enhance_1,1,0.4878048780487805,0.484375,0.47317073170731705,0.4375
svm_pca_edge_enhance_1,2,0.5463414634146342,0.47265625,0.5463414634146342,0.453125
svm_pca_edge_enhance_1,3,0.5609756097560976,0.49609375,0.5609756097560976,0.4765625
svm_pca_edge_enhance_1,4,0.5121951219512195,0.49609375,0.4975609756097561,0.4765625
svm_pca_edge_enhance_1,5,0.5245098039215687,0.4765625,0.5,0.4609375
svm_edge_enhance_2,1,0.5073170731707317,0.5078125,0.47317073170731705,0.46484375
svm_edge_enhance_2,2,0.4682926829268293,0.51171875,0.44878048780487806,0.48828125
svm_edge_enhance_2,3,0.4682926829268293,0.4921875,0.5024390243902439,0.48046875
svm_edge_enhance_2,4,0.5170731707317073,0.46484375,0.48292682926829267,0.44921875
svm_edge_enhance_2,5,0.4950980392156863,0.50390625,0.4950980392156863,0.484375
svm_pca_edge_enhance_2,1,0.47317073170731705,0.484375,0.47317073170731705,0.421875
svm_pca_edge_enhance_2,2,0.551219512195122,0.4375,0.5170731707317073,0.44921875
svm_pca_edge_enhance_2,3,0.5560975609756098,0.48046875,0.5317073170731708,0.4609375
svm_pca_edge_enhance_2,4,0.5170731707317073,0.48828125,0.4926829268292683,0.4296875
svm_pca_edge_enhance_2,5,0.5,0.45703125,0.5098039215686274,0.4453125
svm_edge,1,0.35121951219512193,0.3125,0.36585365853658536,0.31640625
svm_edge,2,0.3463414634146341,0.328125,0.3170731707317073,0.3359375
svm_edge,3,0.36585365853658536,0.328125,0.36097560975609755,0.328125
svm_edge,4,0.3170731707317073,0.32421875,0.32682926829268294,0.3203125
svm_edge,5,0.36764705882352944,0.3203125,0.3872549019607843,0.3203125
svm_pca_edge,1,0.3951219512195122,0.31640625,0.3804878048780488,0.31640625
svm_pca_edge,2,0.33658536585365856,0.32421875,0.33658536585365856,0.3125
svm_pca_edge,3,0.35121951219512193,0.33203125,0.33658536585365856,0.3203125
svm_pca_edge,4,0.32682926829268294,0.3203125,0.32682926829268294,0.33203125
svm_pca_edge,5,0.3627450980392157,0.32421875,0.38235294117647056,0.30859375
svm_glcm,1,0.6,0.5,0.6,0.5703125
svm_glcm,2,0.4975609756097561,0.515625,0.5658536585365853,0.57421875
svm_glcm,3,0.4926829268292683,0.5078125,0.6097560975609756,0.55859375
svm_glcm,4,0.526829268292683,0.515625,0.551219512195122,0.55859375
svm_glcm,5,0.5392156862745098,0.5,0.5637254901960784,0.5390625
svm_hog,1,0.6146341463414634,0.5546875,0.6390243902439025,0.55078125
svm_hog,2,0.5804878048780487,0.56640625,0.551219512195122,0.57421875
svm_hog,3,0.5804878048780487,0.5625,0.5853658536585366,0.58203125
svm_hog,4,0.6146341463414634,0.57421875,0.6,0.58203125
svm_hog,5,0.6078431372549019,0.54296875,0.5980392156862745,0.578125
svm_hog_lbp_glcm,1,0.6487804878048781,0.56640625,0.6487804878048781,0.5390625
svm_hog_lbp_glcm,2,0.5414634146341464,0.5703125,0.5317073170731708,0.56640625
svm_hog_lbp_glcm,3,0.5951219512195122,0.5703125,0.5756097560975609,0.5546875
svm_hog_lbp_glcm,4,0.624390243902439,0.57421875,0.6,0.5546875
svm_hog_lbp_glcm,5,0.5980392156862745,0.5390625,0.6029411764705882,0.58203125
svm_pca_hog_lbp_glcm,1,0.5902439024390244,0.5390625,0.5609756097560976,0.51171875
svm_pca_hog_lbp_glcm,2,0.526829268292683,0.55078125,0.5219512195121951,0.546875
svm_pca_hog_lbp_glcm,3,0.5463414634146342,0.5390625,0.5170731707317073,0.53125
svm_pca_hog_lbp_glcm,4,0.5560975609756098,0.52734375,0.5804878048780487,0.54296875
svm_pca_hog_lbp_glcm,5,0.5441176470588235,0.5546875,0.553921568627451,0.546875
svm_lbp,1,0.44878048780487806,0.3671875,0.4097560975609756,0.375
svm_lbp,2,0.45365853658536587,0.35546875,0.43414634146341463,0.3359375
svm_lbp,3,0.36097560975609755,0.33984375,0.3804878048780488,0.33203125
svm_lbp,4,0.47804878048780486,0.37109375,0.44878048780487806,0.33984375
svm_lbp,5,0.45098039215686275,0.37890625,0.4411764705882353,0.3515625
svm_sobel,1,0.5073170731707317,0.5,0.5121951219512195,0.4921875
svm_sobel,2,0.4682926829268293,0.5,0.44878048780487806,0.4765625
svm_sobel,3,0.5317073170731708,0.5078125,0.5365853658536586,0.4765625
svm_sobel,4,0.5170731707317073,0.5234375,0.5317073170731708,0.5078125
svm_sobel,5,0.5637254901960784,0.5,0.5490196078431373,0.484375
svm_pca_sobel,1,0.4926829268292683,0.484375,0.4634146341463415,0.46875
svm_pca_sobel,2,0.5707317073170731,0.4765625,0.526829268292683,0.47265625
svm_pca_sobel,3,0.5560975609756098,0.49609375,0.551219512195122,0.48828125
svm_pca_sobel,4,0.4878048780487805,0.484375,0.47804878048780486,0.47265625
svm_pca_sobel,5,0.5245098039215687,0.4765625,0.4803921568627451,0.4765625
svm_prewitth,1,0.4585365853658537,0.43359375,0.3951219512195122,0.39453125
svm_prewitth,2,0.44390243902439025,0.44140625,0.3902439024390244,0.41796875
svm_prewitth,3,0.4292682926829268,0.421875,0.40487804878048783,0.41015625
svm_prewitth,4,0.4878048780487805,0.4296875,0.48292682926829267,0.41015625
svm_prewitth,5,0.45588235294117646,0.4296875,0.43137254901960786,0.40625
svm_pca_prewitth,1,0.43414634146341463,0.41015625,0.4097560975609756,0.4140625
svm_pca_prewitth,2,0.4097560975609756,0.41015625,0.43414634146341463,0.375
svm_pca_prewitth,3,0.47317073170731705,0.39453125,0.44878048780487806,0.359375
svm_pca_prewitth,4,0.48292682926829267,0.4296875,0.4585365853658537,0.42578125
svm_pca_prewitth,5,0.4411764705882353,0.421875,0.4117647058823529,0.375
svm_prewittv,1,0.40487804878048783,0.39453125,0.3463414634146341,0.37890625
svm_prewittv,2,0.4097560975609756,0.3984375,0.424390243902439,0.37109375
svm_prewittv,3,0.3463414634146341,0.40234375,0.36097560975609755,0.37890625
svm_prewittv,4,0.4975609756097561,0.41015625,0.47317073170731705,0.375
svm_prewittv,5,0.4215686274509804,0.375,0.4215686274509804,0.35546875
svm_pca_prewittv,1,0.37073170731707317,0.3828125,0.3463414634146341,0.35546875
svm_pca_prewittv,2,0.45365853658536587,0.4140625,0.4195121951219512,0.39453125
svm_pca_prewittv,3,0.44390243902439025,0.38671875,0.40487804878048783,0.3828125
svm_pca_prewittv,4,0.48292682926829267,0.40625,0.44390243902439025,0.3828125
svm_pca_prewittv,5,0.38235294117647056,0.375,0.3872549019607843,0.3359375
svm_raw,1,0.5414634146341464,0.46875,0.5219512195121951,0.3828125
svm_raw,2,0.5951219512195122,0.5,0.5902439024390244,0.4375
svm_raw,3,0.5609756097560976,0.5078125,0.5658536585365853,0.4765625
svm_raw,4,0.4926829268292683,0.484375,0.48292682926829267,0.453125
svm_raw,5,0.5392156862745098,0.49609375,0.5147058823529411,0.4453125
svm_pca_raw,1,0.5365853658536586,0.47265625,0.5024390243902439,0.45703125
svm_pca_raw,2,0.5853658536585366,0.50390625,0.5365853658536586,0.4609375
svm_pca_raw,3,0.5756097560975609,0.5,0.5365853658536586,0.41796875
